Country,Image,Category,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
UAE (BRICS),https://flagcdn.com/w80/ae.png,BRICS,0.0006859867013167011,0.000939893599634201,0.0014150869293006,0.00423124361586089,0.0116515056894244,0.0147207299691197,0.0192132124750768,0.0248716602917912,0.0237757185413171,0.0312255570218735,0.0435991341930959,0.0493334718949853,0.046622715280796,0.042803373389670406,0.0418079314528262,0.040603631079405095,0.0339435684809469,0.0363848023103887,0.0362756138768575,0.0414649663017919,0.050701374187331,0.0515520582503806,0.0542391887455001,0.0556252694851866,0.059305111227503406,0.0657436049657557,0.0735712173767336,0.0788388868621575,0.0756743842047668,0.08444539933472349,0.104337463730167,0.103311631797329,0.109816091078603,0.12434647618046,0.147824249957985,0.18061746795423,0.222116532963026,0.257916148767436,0.31547461574122304,0.253547358746804,0.30773634852733,0.36888103396257,0.392793559050783,0.409632574702715,0.424935834104193,0.381973135513065,0.381717208620964,0.403365056078846,0.440560003161236,0.433926218686108,0.357161776271328,0.422441282436237,0.5114034046421729,0.522622268401125,0.552324919095872,0.552324919095872
Brazil (BRICS),https://flagcdn.com/w80/br.png,BRICS,0.0423276647936934,0.0488698309017878,0.0584348583748696,0.0835922758629982,0.109794519727538,0.12920355523882698,0.153168949208207,0.176344101401941,0.20027864612358098,0.22133820448022198,0.237393489892637,0.258015174748648,0.27131411376841696,0.189656506321431,0.18833997408658,0.21087984463887702,0.256480852471129,0.28305683689383804,0.307881930752268,0.41299082028741996,0.384959818181817,0.342534090909091,0.328191909882232,0.36829203438096003,0.525369467295737,0.7693330509869051,0.8504264329917419,0.883206179730462,0.863710759256435,0.599642024319531,0.655448231983527,0.559983634798981,0.5097952738067151,0.558233745651874,0.669289424806307,0.891633839894183,1.10762654143492,1.39711448636867,1.6958550834975201,1.66699643858143,2.2088377451005496,2.61615622391769,2.46522780280676,2.47281953555721,2.4560437271988502,1.8022122068145,1.79569348285301,2.06351497736565,1.91693389801099,1.87328820505969,1.47610723131049,1.6706473989049,1.95192394208332,2.19113176568463,2.18582161068931,2.2799200924921297
Canada (G7),https://flagcdn.com/w80/ca.png,G7,0.0881922576323093,0.0996064547435136,0.113463848873624,0.131764343565643,0.16094918813905898,0.174419757176563,0.207271612576065,0.212325176304654,0.219369542386254,0.243891124295715,0.274776566028053,0.307246642755859,0.314647807408608,0.341866277182733,0.35671840012354306,0.366186012449652,0.379006836991724,0.43313423831070896,0.509380027626554,0.567211993243243,0.5960755913609871,0.612527712315615,0.594387358318855,0.5790535617394,0.579944346807264,0.605961090061207,0.6306079941327469,0.654987722085801,0.633999325918436,0.678414215521303,0.7447734159315871,0.738981792355372,0.7606506085515831,0.8955420740846479,1.02669100691776,1.1731185014028702,1.3192912552891398,1.46882040778326,1.55299343955014,1.3746277665996,1.61734919209146,1.7933357279008502,1.82835947707197,1.8465838314144298,1.80575168880898,1.55651038020023,1.52799625064092,1.6492694965146202,1.72533073623769,1.7437289521568502,1.65568696688199,2.02237795089678,2.2005627850463196,2.19659383634742,2.27007618968346,2.31989977242592
China (BRICS),https://flagcdn.com/w80/cn.png,BRICS,0.0927529308731912,0.0999590138796308,0.11387193071384101,0.138764340892,0.144418433058472,0.163687619735857,0.154196810058643,0.175226595859778,0.14978861788617898,0.178573913043478,0.1914875,0.196218253968254,0.205480916030534,0.23113026819923402,0.260442857142857,0.31006462585034,0.301310144927536,0.273455156950673,0.312888888888889,0.348380566801619,0.36156022944550703,0.384510452961672,0.428502354788069,0.446557291212148,0.566929539493172,0.7381908962275501,0.868523936530083,0.967753570434667,1.03713414176035,1.1038432035756398,1.22375491997105,1.35503659025152,1.48982168205054,1.68390330984385,1.98419655130044,2.3175512980520496,2.79149847280433,3.6040558225716297,4.66734641452195,5.18957709499758,6.19256487445329,7.67175720785129,8.67366471318924,9.74312424726724,10.674533168257401,11.2808147874689,11.456024084962,12.5375590622829,14.147765772963801,14.560167101283401,14.9964141667151,18.201698719564,18.3167650216902,18.2703566545332,18.729668435848,19.498039388042603
Germany (G7),https://flagcdn.com/w80/de.png,G7,0.21662922994709602,0.250900942396699,0.30089994479543597,0.399833571167215,0.446934971657471,0.492434094920105,0.521658712132981,0.602698323085993,0.743182891918208,0.8845742183331551,0.953772499462019,0.8034047970575511,0.779421633755138,0.773507930294906,0.7277677609786269,0.735218723093277,1.0500926245159001,1.30293231882481,1.40636701637153,1.40409292520545,1.77816219586007,1.8757925751325901,2.14137758296807,2.0789542174376,2.21528263227673,2.59305309130613,2.50657655315831,2.21879088653282,2.2477603645659703,2.21387346858688,1.9669807011451002,1.96638149664173,2.10235079830589,2.5347155183490098,2.8523177680617797,2.89339318736187,3.04630875367058,3.48405668085491,3.808197720125,3.4785455166835897,3.4670937696666697,3.82357580379378,3.59648323340625,3.80702379705099,3.96487073576077,3.42509957874609,3.536787895179,3.76535162610589,4.05543321530196,3.9598947940392097,3.94139895707394,4.35525195341078,4.20102170647862,4.56220753249028,4.68559257780469,5.0509229250470495
Egypt (BRICS),https://flagcdn.com/w80/eg.png,BRICS,0.0080422004521477,0.00860928334608518,0.00929963805584281,0.0100985346134411,0.00922896322460004,0.011632178868917101,0.0133159880834161,0.0144008068759867,0.0148117040630685,0.0180205714285714,0.0216699081763889,0.022136081081081102,0.0276551724137931,0.0309662398137369,0.0339711889916147,0.039053502251073194,0.0412535079513564,0.0404556166535742,0.0349801249290176,0.0397562990499793,0.042978914311350404,0.037387836490528396,0.0418559865194235,0.046578631452581,0.0518979833926453,0.0601592450604541,0.0676297169811321,0.0784365781710914,0.08482880755608031,0.0907107048068416,0.0998385439600763,0.0966846361185984,0.0851460674157303,0.0802884615384615,0.0787824675324675,0.0896603396603397,0.107426086956522,0.130437828371278,0.162818181818182,0.189147005444646,0.218983666061706,0.235989672977625,0.279116666666667,0.288434108527132,0.30559540889526504,0.329366576819407,0.332441717791411,0.24836277173913002,0.26258863252673004,0.318678815489749,0.383817841547099,0.42467176545570395,0.476747720364742,0.395926071447591,0.38905991059309997,0.36525463017973697
Ethiopia (BRICS),https://flagcdn.com/w80/et.png,BRICS,0.0030453544548000003,0.00322428083497092,0.00352025293826087,0.0040705705498642,0.004577209966183581,0.00457704785410628,0.00494380609323672,0.0056518405845410605,0.00601496143478261,0.00658604839806763,0.00701258545410628,0.00750766356666667,0.00789998884057971,0.008781664427053141,0.00829830958067633,0.00971739268695652,0.0100943288980676,0.010790001557971001,0.011181119717874399,0.011762932007246402,0.0124789438951691,0.013799799323671499,0.0107547990365745,0.00905104387012197,0.00710080675392942,0.00785520520693405,0.00876121554848614,0.00880353998833248,0.00801327413169715,0.00789297353180045,0.0082423496178638,0.00823132601647494,0.00785080949816803,0.00862369130004079,0.0101311872614421,0.012401139453973802,0.015280861834602399,0.0197076167727996,0.0270669126352228,0.032437389116037996,0.0299337903343418,0.031952763089330004,0.0433107214140829,0.0476482766050123,0.0556122282335179,0.0621034181818182,0.068475871209607,0.0763660817666667,0.0833379010719697,0.09183451711363859,0.0986768110619985,0.109070960370972,0.123140304665399,0.13587409320318,0.149740297952375,0.126358758448356
France (G7),https://flagcdn.com/w80/fr.png,G7,0.147312861698358,0.164694210962472,0.201738881664499,0.261970536240424,0.282739225313693,0.35732430778644597,0.36836315214422305,0.406401711687617,0.501724418604651,0.608218624730188,0.69452918348339,0.609184791792396,0.578152310609841,0.553356312935709,0.5250333258275159,0.547220981165134,0.764946585850933,0.926320855614973,1.01082766215175,1.01674223730208,1.25764943982653,1.2589617486338798,1.38966307311028,1.31438336807969,1.38582277882798,1.59521934551189,1.59888921656623,1.44939222297145,1.49690638203247,1.48691587970193,1.36095906947749,1.3703766772988601,1.49242775638243,1.83509598304909,2.10979229723703,2.19214640302817,2.3178615446908197,2.65581691186656,2.92680294158586,2.70007588251898,2.6462300279883397,2.8704085539902797,2.68300709578723,2.81607760787526,2.8612361125524197,2.4424834526425,2.47040761977713,2.58886832333471,2.78157632088439,2.7227935151717597,2.64792605511005,2.96643369200809,2.79478813706694,3.05625064813829,3.16044262246508,3.36631592744733
United Kingdom (G7),https://flagcdn.com/w80/gb.png,G7,0.1306719462443,0.14811389632514002,0.169965034965035,0.192537971582558,0.206131369798971,0.241756637168142,0.232614555256065,0.263066457352172,0.335883029721956,0.43899407030919096,0.564947710899373,0.540765675241158,0.51504891684137,0.489618008185539,0.461487097632349,0.489285164271047,0.601452653180885,0.7451626082693249,0.9101227321237989,0.926884816753927,1.09316938920455,1.14279717813051,1.17965952965953,1.06138872225555,1.14048974594429,1.34909420861606,1.4252870514820601,1.56931728880157,1.66082146406095,1.6934589872188999,1.67159782115297,1.6561710090686599,1.79053657074341,2.06122775510204,2.4297748077627204,2.5513618181818196,2.71955841766329,3.10469987995198,2.94525183823529,2.42935815547593,2.49674068105714,2.67559003412866,2.71971596153983,2.79690833328339,3.08536216941029,2.94557989025846,2.70680760653873,2.6991183878731,2.89702800991605,2.8757100800153,2.72400147830459,3.1945591889259304,3.18124435046541,3.42079665378908,3.69553951353415,4.00258754184601
India (BRICS),https://flagcdn.com/w80/in.png,BRICS,0.0624224830546667,0.067351404351833,0.07146470066698689,0.0855176731725513,0.0995265979336331,0.09847383201732421,0.10271645197967999,0.12148664144130901,0.137302319828995,0.15299544249770902,0.186328579302068,0.193491368445573,0.200715624830902,0.218262146413158,0.212157645177652,0.232511554840372,0.24898599404059,0.279033584092223,0.296589670895932,0.29604205294465996,0.32097902642003495,0.270105341879226,0.288208070278013,0.279295648982529,0.32727484345942903,0.360281909643489,0.39289686620451597,0.415867563592829,0.42135131722494096,0.45882105261579,0.468395521654458,0.485440139204171,0.514939140318756,0.607700687237318,0.7091527288307751,0.8203837635114449,0.9402598887877209,1.21673643883496,1.19889513900592,1.3418880169949,1.67561551948496,1.82305182989455,1.8276375904104099,1.8567215076215802,2.03912647915452,2.10358836004494,2.29479688566316,2.65147426275545,2.70292964164874,2.83560625655819,2.67485157858727,3.16727062326047,3.24993849201347,3.5009060306447597,3.76081347050086,3.95606711577163
